Cryptocurrency,Blockchain,Bitcoin,Ethereum,isPartial
1,1,66,0,False
0,1,49,0,False
0,1,56,0,False
1,1,52,0,False
1,1,53,0,False
0,1,52,0,False
0,1,44,0,False
0,1,47,0,False
1,1,40,0,False
0,1,39,0,False
0,1,45,0,False
0,1,35,0,False
0,1,36,0,False
1,2,37,0,False
0,1,39,0,False
1,1,42,0,False
1,1,41,0,False
1,1,42,0,False
1,1,45,0,False
1,2,45,0,False
1,2,49,0,False
1,2,49,0,False
1,2,56,1,False
1,2,56,0,False
1,2,72,0,False
1,2,55,0,False
1,1,66,0,False
1,1,53,0,False
1,2,55,0,False
1,1,59,0,False
0,1,55,0,False
1,2,50,0,False
1,2,47,0,False
1,2,51,0,False
0,2,49,0,False
0,2,45,0,False
0,2,44,0,False
1,2,43,0,False
0,1,47,0,False
1,1,45,0,False
0,1,45,0,False
0,2,44,0,False
1,1,48,0,False
1,2,51,0,False
1,2,51,0,False
1,2,51,0,False
0,2,54,0,False
1,2,54,0,False
1,2,74,0,False
1,1,60,0,False
1,2,59,0,False
1,2,51,0,False
1,1,51,0,False
1,2,54,0,False
1,2,51,0,False
1,1,49,0,False
1,1,49,0,False
1,2,49,0,False
0,2,46,0,False
1,2,42,0,False
0,2,44,0,False
0,2,48,0,False
1,2,45,0,False
1,2,43,0,False
1,2,43,0,False
1,1,47,0,False
0,2,47,0,False
1,1,49,0,False
1,2,58,0,False
1,2,57,0,False
1,2,69,0,False
1,2,71,0,False
1,2,79,0,False
1,1,67,1,False
1,2,70,0,False
1,1,64,0,False
1,1,70,0,False
1,2,58,0,False
1,2,67,0,False
1,2,57,0,False
1,2,51,0,False
0,2,46,0,False
1,2,63,0,False
1,2,46,0,False
1,1,49,0,False
1,1,52,0,False
1,2,54,0,False
1,2,58,0,False
1,2,56,0,False
1,1,54,0,False
1,1,55,0,False
1,2,56,0,False
1,2,58,0,False
1,2,60,0,False
1,2,64,0,False
1,2,71,0,False
1,2,75,0,False
1,2,65,0,False
1,1,71,0,False
1,1,64,0,False
1,2,61,0,False
1,1,65,0,False
1,2,55,1,False
1,2,54,0,False
1,2,51,0,False
1,2,55,0,False
1,2,49,0,False
0,2,50,0,False
1,2,51,0,False
0,2,50,0,False
1,2,50,0,False
1,2,52,0,False
1,2,60,0,False
1,2,58,0,False
1,2,57,0,False
1,2,60,0,False
1,2,58,0,False
1,2,60,0,False
1,2,65,0,False
1,2,67,0,False
1,2,79,1,False
1,2,63,1,False
1,2,67,1,False
1,2,57,0,False
1,2,56,1,False
1,2,65,0,False
1,2,64,0,False
1,2,54,0,False
1,2,56,0,False
0,2,53,0,False
1,2,62,0,False
1,2,54,0,False
0,2,52,0,False
1,2,53,0,False
1,2,56,0,False
1,2,58,0,False
1,2,55,0,False
1,2,59,0,False
1,2,62,0,False
1,2,60,0,False
1,2,67,0,False
1,2,66,0,False
1,2,89,0,False
1,3,89,0,False
1,2,100,0,False
1,2,91,0,False
1,2,87,0,False
1,2,72,0,False
